1	361049	142916
2	284132	61611
3	279388	55610
4	276534	52850
5	274649	52969
6	279270	56036
7	277746	53549
8	277661	53669
9	276841	52217
10	280467	54937
11	273375	52705
12	276915	53985
13	277934	53560
14	274449	53458
15	278991	54372
16	274050	58587
17	228194	74069
18	221010	41744
19	212628	52909
20	217974	44902
21	216226	30238
22	219208	35410
23	219765	34934
24	220954	39616
25	218088	31713
26	212914	45162
27	216697	59238
28	225652	40534
29	234394	44625
30	238462	49763
31	245529	51887
32	256272	55962
33	262051	56064
34	273308	57716
35	275247	56011
36	258465	59000
37	237748	78592
38	233400	68673
39	218559	53781
40	217760	32384
41	219336	35111
42	218411	32614
43	221569	37546
44	220457	39821
45	219403	34764
46	219236	35214
47	218833	35924
48	219344	37109
49	221564	38502
50	218893	33803
51	220871	38402
52	217331	31934
53	218228	31742
54	219480	33073
55	217309	30362
56	219079	25899
