Zone,IP
Frankfurt,192.168.3.60
Paris,192.168.3.61
Canada,192.168.3.62
Virginia,192.168.3.63
SaoPaulo,192.168.3.64
Mumbai,192.168.3.65
cli-Frankfurt,192.168.3.66
cli-Paris,192.168.3.67
cli-Canada,192.168.3.68
cli-Virginia,192.168.3.69
cli-SaoPaulo,192.168.3.70
cli-Mumbai,192.168.3.71
