1	213489	97382
2	154355	48564
3	153540	45095
4	192866	96870
5	197906	105470
6	193701	106950
7	220710	150072
8	233660	187730
9	258169	233064
10	244181	218324
11	166407	87779
12	159900	51283
13	186692	102329
14	208009	125249
15	211222	139106
16	209908	137734
17	231323	199744
18	269793	263720
19	261789	254969
20	195505	172568
21	182736	109208
22	180103	88070
23	197164	115425
24	212497	148739
25	236464	179170
26	240079	206520
27	255974	235632
28	270373	261609
29	214896	202274
30	193118	153025
31	202675	156911
32	198734	126465
33	202594	131833
34	187571	136333
35	156474	112747
36	153330	114504
37	146268	75273
38	139899	43538
39	136782	35067
40	143438	48258
41	137109	31653
42	136616	24443
43	136654	27000
44	137441	25789
45	137858	26748
46	137627	26120
47	136757	28894
48	140057	36327
49	138083	29958
50	131985	24919
51	131742	21394
52	132526	20901
53	131599	25100
54	132853	27172
55	137122	29184
56	135745	25654
57	133718	24047
58	134081	22041
59	132289	22179
60	132539	20169
61	132848	20222
62	132910	20886
63	132452	23788
64	133769	22483
65	134459	21644
66	133356	23642
67	134282	26505
68	133616	23939
69	132577	21541
70	131921	22777
71	132065	22335
72	133026	22523
73	133340	23580
74	133973	23766
75	132690	25672
76	135194	23712
77	134489	24938
78	132693	23986
79	131426	23269
80	130934	24627
81	132469	22350
82	132261	24023
83	133734	25362
84	136643	25792
85	136018	28245
86	135320	25232
87	132142	25567
88	132336	22155
89	131882	21357
90	132519	21881
91	130810	25084
92	133622	23601
93	134473	25841
94	135834	22674
95	133191	27022
96	133194	24730
97	132513	24511
98	131337	24966
99	132406	23604
100	133635	21373
101	133021	23254
102	133459	24236
103	133809	27072
104	134044	24669
105	133203	23189
106	132536	23317
107	131620	23903
108	133484	21690
109	136417	23185
110	141092	18560
111	140513	25363
112	139858	25818
