Zone,IP
Canada,192.168.3.60
Paris,192.168.3.61
Virginia,192.168.3.62
Frankfurt,192.168.3.63
Singapore,192.168.3.64
Mumbai,192.168.3.65
cli-Canada,192.168.3.66
cli-Paris,192.168.3.67
cli-Virginia,192.168.3.68
cli-Frankfurt,192.168.3.69
cli-Singapore,192.168.3.70
cli-Mumbai,192.168.3.71
