1	306645	89623
2	266014	36316
3	263150	32978
4	257818	16507
5	261607	32600
6	262209	36082
7	258730	22653
8	259555	27896
9	261667	33241
10	260720	32263
11	260168	28230
12	259985	32041
13	260901	31571
14	263440	40587
15	260876	33023
16	259981	30295
17	260880	32190
18	262930	40392
19	261259	33842
20	261441	33306
21	261074	33323
22	262643	40181
23	261258	33868
24	258680	25673
25	259583	26872
26	261697	35248
27	261691	37428
28	261624	35370
29	261185	31116
30	262974	37677
31	259229	26949
32	259819	31922
33	260231	34072
34	259773	29909
35	258303	31968
36	257448	34043
37	253253	39649
38	247196	56839
39	262315	81380
40	255671	49334
41	255118	40236
42	251234	48597
43	253763	41695
44	255900	34571
45	255054	38191
46	254433	40063
47	254244	40110
48	253410	40840
49	254736	39249
50	253473	42522
51	253215	41581
52	254488	38106
53	252511	43858
54	255668	37712
55	252113	45518
56	254576	39318
57	253221	43291
58	254309	40041
59	253301	42553
60	255544	36457
61	255084	37423
62	251550	46139
63	252957	42576
64	253490	42704
65	255186	38437
66	252310	43048
67	252510	44893
68	253126	43190
69	252833	42431
70	255139	37361
71	253981	40810
72	256359	33474
73	254025	41134
74	253517	41785
75	252945	43355
76	254263	41126
77	254162	40032
78	254177	41089
79	255198	39116
80	251463	46177
81	253525	40821
82	251380	45979
83	251075	46189
84	252000	43058
85	254517	40317
86	251665	47946
87	254211	41000
88	253136	43168
89	255490	35365
90	253136	41799
91	256998	29992
92	254061	39941
93	253499	42743
94	253826	40920
95	256206	36696
96	253093	42563
97	255163	37352
98	253494	42634
99	254909	38292
100	254915	38321
101	252496	44874
102	252968	42729
103	256728	36129
104	257068	48400
105	264204	34901
106	263264	41804
107	264401	39865
108	263953	40099
109	264807	38374
110	263748	38428
111	266225	25187
112	267975	11092
113	267944	9849
