From/to,Canada,SaoPaulo,Virginia,cli-Canada,cli-SaoPaulo,cli-Virginia
Canada,5,100,100,100,100,100
SaoPaulo,100,5,100,100,100,100
Virginia,100,100,5,100,100,100
cli-Canada,100,100,100,5,100,100
cli-SaoPaulo,100,100,100,100,5,100
cli-Virginia,100,100,100,100,100,5
