Zone,IP
Canada,192.168.3.60
SaoPaulo,192.168.3.61
Virginia,192.168.3.62
Frankfurt,192.168.3.63
Ireland,192.168.3.64
Mumbai,192.168.3.65
Paris,192.168.3.66
Tokyo,192.168.3.67
Singapore,192.168.3.68
cli-Canada,192.168.3.69
cli-SaoPaulo,192.168.3.70
cli-Virginia,192.168.3.71
cli-Frankfurt,192.168.3.72
cli-Ireland,192.168.3.73
cli-Mumbai,192.168.3.74
cli-Paris,192.168.3.75
cli-Tokyo,192.168.3.76
cli-Singapore,192.168.3.77
