1	308296	97005
2	264194	32412
3	262362	29169
4	265488	32288
5	266839	32147
6	266362	34759
7	266287	32170
8	272053	36075
9	280448	42598
10	273442	39272
11	302666	98688
12	270359	65009
13	260511	31377
14	263243	36862
15	265688	36790
16	267518	30210
17	272922	35472
18	271632	42797
19	268189	32219
20	279335	41810
21	311991	83667
22	284638	80576
23	263761	46009
24	259212	22649
25	263600	27911
26	265913	25697
27	267014	29963
28	272087	32530
29	272032	32836
30	289454	56830
31	299451	69372
32	271568	53422
33	263698	44894
34	261678	29133
35	262974	24592
36	264075	37102
37	259485	40429
38	244104	78234
39	283671	94249
40	261810	50960
41	256719	36781
42	255373	38292
43	252688	46928
44	251540	48892
45	254185	41531
46	250936	49295
47	253487	42220
48	255658	38175
49	251351	48639
50	255908	37223
51	257226	34716
52	255674	35077
53	255170	39340
54	250652	47292
55	255662	37384
56	253341	43173
57	249973	49917
58	253372	43777
59	254186	39830
60	254586	40536
61	251679	44335
62	251681	45757
63	251884	47097
64	252276	46063
65	251376	45103
66	253008	43346
67	258535	29938
68	252150	47600
69	252974	42214
70	252620	43779
71	253967	40928
72	254617	40065
73	256369	33568
74	254294	40940
75	254670	38523
76	254620	39145
77	252204	46941
78	254353	39817
79	254027	40906
80	252649	43182
81	251668	45330
82	253943	40564
83	253940	41569
84	252074	44440
85	253345	41524
86	252305	46053
87	254587	37805
88	254929	38971
89	254184	41124
90	256040	36669
91	255822	38071
92	252925	43904
93	253095	43786
94	254981	39190
95	254889	38159
96	253694	40664
97	254640	40069
98	248979	51694
99	257099	33767
100	255296	37306
101	255647	36193
102	253724	41584
103	254846	41751
104	255966	36330
105	259670	37387
106	261496	42951
107	264308	38041
108	264764	36417
109	264632	39449
110	265280	39260
111	269691	10732
112	270507	8949
113	271544	9002
