1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	300	182
10	305	237
11	326	308
12	309	293
13	304	290
14	306	279
15	318	289
16	311	275
17	311	288
18	328	291
19	327	313
20	309	288
21	317	287
22	316	286
23	320	296
24	328	296
25	313	291
26	318	294
27	305	292
28	333	282
29	69	202
30	68	20
31	44	21
32	59	21
33	39	16
34	46	14
35	56	23
36	65	33
37	58	24
38	53	19
39	51	21
40	25	28
41	50	51
42	83	96
43	132	150
44	176	210
45	215	259
46	269	288
47	312	301
48	305	275
49	323	278
50	319	196
51	304	10
52	54	20
53	54	18
54	47	21
55	54	17
56	58	25
57	62	23
58	52	30
59	55	20
