1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	40	8
10	44	18
11	35	20
12	43	14
13	42	16
14	43	13
15	47	14
16	46	14
17	42	20
18	48	23
19	56	19
20	41	13
21	53	20
22	48	16
23	45	25
24	56	13
25	41	20
26	41	13
27	41	14
28	56	22
29	41	23
30	39	16
31	53	22
32	51	22
33	44	13
34	38	13
35	40	16
36	61	19
37	48	21
38	47	25
39	42	15
40	46	14
41	49	15
42	42	18
43	47	18
44	56	25
45	44	14
46	58	26
47	62	27
48	47	28
49	37	121
50	103	301
51	292	298
52	355	363
53	382	337
54	367	325
55	367	345
56	373	347
57	373	336
58	367	322
59	361	345
60	383	352
61	376	329
62	360	350
63	371	343
64	367	325
65	365	348
66	366	339
67	378	336
68	368	339
69	376	341
70	363	343
71	366	331
72	374	346
73	359	342
74	376	345
75	373	339
76	362	335
77	374	342
78	357	335
79	368	342
80	384	335
81	354	332
82	368	352
83	382	336
84	363	339
85	369	342
86	366	338
87	372	348
88	376	341
89	368	333
90	376	332
91	370	347
92	363	335
93	375	352
94	376	327
95	349	355
96	384	336
97	363	328
98	360	355
99	375	350
100	368	334
101	372	341
102	378	348
103	357	343
104	379	344
105	373	334
106	374	348
107	375	340
108	362	332
109	374	338
110	361	350
111	373	347
112	381	336
113	363	347
114	375	331
115	373	338
116	372	354
117	369	340
118	356	344
119	382	338
