From/to,Canada,Virginia,SaoPaulo,cli-Canada,cli-Virginia,cli-SaoPaulo
Canada,5,100,100,5,100,100
Virginia,100,5,100,100,5,100
SaoPaulo,100,100,5,100,100,5
cli-Canada,5,100,100,5,100,100
cli-Virginia,100,5,100,100,5,100
cli-SaoPaulo,100,100,5,100,100,5
